Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Business Start,Business End,Part of Terms,Type of Terms,Abbreviations,Data Classes,Synonyms,Secondary Categories
Building Maintenance,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Buildings And Equipment,Administer and execute site and utility maintenance and repair activities (building refit and decoration etc.),Service Domain,,,,,,,,,,,
Equipment Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Buildings And Equipment,"Track the operational state and administer assignment, maintenance and movements/inventory of available office equipment (printers, NW, Faxes, Shredders, kitchen etc..)",Service Domain,,,,,,,,,,,
Equipment Maintenance,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Buildings And Equipment,Administer the regular and ad hoc maintenance and repair of office equipment (typically excludes IT),Service Domain,,,,,,,,,,,
Property Portfolio,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Business Direction,Manage and evaluate the fit to needs and effective utilization of the site/property portfolio for owned and leased properties. Optimize the allocation of business functions/divisions to the building and track and project capacity requirements,Service Domain,,,,,,,,,,,
Site Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Buildings And Equipment,Oversee the configuration and assignment of committed space and facilities to business units to optimize facility leverage and meet business space requirements. Manage the assignment of access rights and security tags etc. to staff as necessary for access control,Service Domain,,,,,,,,,,,
Site Operations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Buildings And Equipment,"Operate the day to day access and maintenance of work locations, including site access and environment security, assignable space and equipment allocation, facility/utility assurance and cleaning services coordination",Service Domain,,,,,,,,,,,
Utilities Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Buildings And Equipment,"Administer the sourcing, service agreements and delivery of site utilities (heat, cooling, water, power etc)",Service Domain,,,,,,,,,,,
Business Unit Accounting,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Unit Management,Maintain business unit accounting records,Service Domain,,,,,,,,,,,
Business Unit Direction,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Unit Management,Define and orchestrate business unit activity against the unit business strategy and operating plan,Service Domain,,,,,,,,,,,
Business Unit Financial Analysis,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Unit Management,Track and assess the financial performance of the business unit against projected performance and respond as appropriate,Service Domain,,,,,,,,,,,
Business Unit Financial Operations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Unit Management,Authorize and book payments and receipts against the unit's financial transaction account,Service Domain,,,,,,,,,,,
Business Unit Management,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Unit Management,"Handles the oversight and management of a general organizational business unit. This includes the definition and implementation of the management plan, overseeing ongoing activity and performance assessments and troubleshooting issues that might arise",Service Domain,,,,,,,,,,,
Organization Direction,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Business Direction,"Develop, maintain and implement the enterprise organization chart. Assign roles and responsibilities and track coverage",Service Domain,,,,,,,,,,,
Continuity Planning,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Services,"Develop, maintain and test continuity plans and supporting facilities for an appropriate range of possible failure scenarios",Service Domain,,,,,,,,,,,
Corporate Policies,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Business Direction,Develop and communicate corporate policies that govern business execution,Service Domain,,,,,,,,,,,
Corporate Strategy,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Business Direction,"Define and communicate the corporate strategy and plan. Direct business activity to meet, refine and improve the corporate goals and approaches",Service Domain,,,,,,,,,,,
Enterprise Architecture,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Intelectual Property And Knowledge,"Develop and maintain a comprehensive array of enterprise architectural designs and blueprints that reflect the corporate strategy, plan and operational configuration of the enterprise. Support the adoption of the business architecture throughout all procedure and systems development and deployment activities.

Typical domains of Enterprise Architecture include Strategy Architecture, Business Architecture, Information Architecture, Application Architecture, Data Architecture, Technology Architecture, Physical Architecture, Security Architecture and all kind of sub-archtiectures.",Service Domain,,,,,,,,,,,
Products and Services Direction,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Business Direction,Develop and communicate product and service policies and adapt in response to changing needs and to practical experience,Service Domain,,,,,,,,,,,
Corporate Alliance and Stake Holder,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Relations,Manage key alliance and stake holder relationship - define tasks needed to develop and maintain contact and ensure relevant information is shared as appropriate,Service Domain,,,,,,,,,,,
