Name,Artifact Type,Category,Description,Tags,Stewards,custom_Referenced Topic,custom_KA Version,custom_Alignment Version,custom_KA Copyright
BIAN Hierarchies,category,,Root of the BIAN categories,,,,,,
Service Landscape - Value Chain,category,BIAN Hierarchies,Top category for organizing BIAN,Service Landscape,,,,,
Business Development,category,BIAN Hierarchies >> Service Landscape - Value Chain,"The collection of business activities that leverage the bank's knowledge and knowhow, define and refine models and analytical views that inform and influnec business activity, develop and enhance products and services, drive marketing and sales activities and support the bank's brand/presence.",Business Area,,,,,
Business Management,category,BIAN Hierarchies >> Service Landscape - Value Chain,"The collection of business activities that direct and oversee the corporate relations, enterprise policies, business plans and strategies. Also the management and operation of the business divisions and business units of of the overall organization",Business Area,,,,,
Channels,category,BIAN Hierarchies >> Service Landscape - Value Chain,The collection of activities that handle the customer interaction for the distribution and servicing of products and services through all channles/media. Also supporting the exchange of information transaction exchanges with other financial institutions and markets.  ,Business Area,,,,,
Customers,category,BIAN Hierarchies >> Service Landscape - Value Chain,"The collection of activities that maintain, manage and leverage customer relationships, providing cross-product perspectives, matching products and services to customers and providing targeted analtics and decision support to enhance the bank's delivery performance, 'share of wallet' and overall customer experience",Business Area,,,,,
Finance And Risk Management,category,BIAN Hierarchies >> Service Landscape - Value Chain,"The collection of activities needed to manage the broad range of financial and operational risks and performance controls of the organization and to handle internal audit and the relationships with external industry, legal and regulatory authorities",Business Area,,,,,
Operations,category,BIAN Hierarchies >> Service Landscape - Value Chain,The collection of the bank's 'back-office' cross-product delivery operational functions and services,Business Area,,,,,
Products,category,BIAN Hierarchies >> Service Landscape - Value Chain,"The collection of product specific fulfillment activities covering all product set-up, servicing and production issue resolution. The business area is partitioned to support different product groupings that any bank might elect to deliver",Business Area,,,,,
Resource Management,category,BIAN Hierarchies >> Service Landscape - Value Chain,"The collection of business activities that manage and oversee the deployment, development and operation of the organizational resources covering buildings and facilities, equipment and human resources",Business Area,,,,,
Channel Management,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development,"Manage the channel portfolio, assess channel and device use and performance. Manage customer contact centers and services. Track and analyse contact center and channel activity to continually improve performance and procedures and to re-configure/balance services under load. Manage external information provider relations and  oversee cash and non-cash branch network distribution activities",Business Domain,,,,,
Intelectual Property And Knowledge,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development,"Define and distribute business architectures, procedures and designs. Maintain and manage the use and leverage of intellectual property assets",Business Domain,,,,,
Marketing And Development,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development,"Oversee all new business development activities, handle marketing, advertizing and direct sales. Manage, assess and develop prospect and customer campaigns. Perform market, customer and competitor research and analsis and define and assess market segment profitability/performance",Business Domain,,,,,
Models And Analytics,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development,"Define and refine analyses and models covering topics including financial markets, customer credit assessments, risk and liquidity insights, fraud detection and customer behavior. Support market asset valuations",Business Domain,,,,,
Product Management,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development,Manage and assess the performance of the bank’s products and services. Define and refine product and service designs. Oversee the acceptance and production release of new products and services and maintain the product directory,Business Domain,,,,,
Solution Development,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development,"Manage IT standards and development environments. Manage and administer systems development and testing activities, develop and maintain production applications",Business Domain,,,,,
Business Direction,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management,"Define and direct the corporate and banking asset & liability strategies, goals and policies.  Define the organization structure and manage strategic relationships and corporate commuications. Handle central legal, audit and security activities",Business Domain,,,,,
Corporate Relations,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management,Manage strategic corporate relationships and handle all corporate communications/publicity and press announcements,Business Domain,,,,,
Corporate Services,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management,"Provide specialist support and guidance for legal compliance, internal audit and business continuity asssurance",Business Domain,,,,,
Channel Specific,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels,"Operate voice and data customer networks. Operate branch, ATM  and gateway networks ",Business Domain,,,,,
Cross Channel,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels,"Operate customer dowloaded application administration, customer contact authentication services, contact routing and channel history tracking capabilities",Business Domain,,,,,
Distribution,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels,"Handle mail, cash & non-cash branch network distribution services",Business Domain,,,,,
Information Providers,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels,Administer and operate external market information servies. Augment/enhance and distribute the information internally,Business Domain,,,,,
Servicing,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels,Administer and operate the contact center and supporting services ,Business Domain,,,,,
Customer Care,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers,Handle non-product and cross-product specific requests and issues (cases),Business Domain,,,,,
Investment Services,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers,Provide investment portoflio and E-trading services,Business Domain,,,,,
Party Reference,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers,"Maintain party (customer, legal entity, broker, etc.)  and location details",Business Domain,,,,,
Relationship Management,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers,"Set-up and maintain legal agreements, develop and implement relationship plans, maintain credit ratings and other behavioral insights and qualifiers ",Business Domain,,,,,
